2024-03-30 15:10:58,464 INFO    MainThread:49119 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-03-30 15:10:58,465 INFO    MainThread:49119 [wandb_setup.py:_flush():76] Configure stats pid to 49119
2024-03-30 15:10:58,465 INFO    MainThread:49119 [wandb_setup.py:_flush():76] Loading settings from /home/m4xig1/.config/wandb/settings
2024-03-30 15:10:58,465 INFO    MainThread:49119 [wandb_setup.py:_flush():76] Loading settings from /home/m4xig1/speaker_extraction_SpEx/wandb/settings
2024-03-30 15:10:58,465 INFO    MainThread:49119 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-30 15:10:58,465 INFO    MainThread:49119 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'test.py', 'program_abspath': '/home/m4xig1/speaker_extraction_SpEx/test.py', 'program': '/home/m4xig1/speaker_extraction_SpEx/test.py'}
2024-03-30 15:10:58,465 INFO    MainThread:49119 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-03-30 15:10:58,465 INFO    MainThread:49119 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-03-30 15:10:58,465 INFO    MainThread:49119 [wandb_init.py:_log_setup():527] Logging user logs to /home/m4xig1/speaker_extraction_SpEx/wandb/run-20240330_151058-kg7uinv4/logs/debug.log
2024-03-30 15:10:58,465 INFO    MainThread:49119 [wandb_init.py:_log_setup():528] Logging internal logs to /home/m4xig1/speaker_extraction_SpEx/wandb/run-20240330_151058-kg7uinv4/logs/debug-internal.log
2024-03-30 15:10:58,465 INFO    MainThread:49119 [wandb_init.py:init():567] calling init triggers
2024-03-30 15:10:58,465 INFO    MainThread:49119 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {}
2024-03-30 15:10:58,465 INFO    MainThread:49119 [wandb_init.py:init():617] starting backend
2024-03-30 15:10:58,465 INFO    MainThread:49119 [wandb_init.py:init():621] setting up manager
2024-03-30 15:10:58,467 INFO    MainThread:49119 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-30 15:10:58,469 INFO    MainThread:49119 [wandb_init.py:init():629] backend started and connected
2024-03-30 15:10:58,473 INFO    MainThread:49119 [wandb_init.py:init():721] updated telemetry
2024-03-30 15:10:58,483 INFO    MainThread:49119 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-03-30 15:10:59,055 INFO    MainThread:49119 [wandb_run.py:_on_init():2344] communicating current version
2024-03-30 15:10:59,246 INFO    MainThread:49119 [wandb_run.py:_on_init():2353] got version response 
2024-03-30 15:10:59,246 INFO    MainThread:49119 [wandb_init.py:init():805] starting run threads in backend
2024-03-30 15:10:59,396 INFO    MainThread:49119 [wandb_run.py:_console_start():2323] atexit reg
2024-03-30 15:10:59,396 INFO    MainThread:49119 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-03-30 15:10:59,396 INFO    MainThread:49119 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-03-30 15:10:59,396 INFO    MainThread:49119 [wandb_run.py:_redirect():2268] Redirects installed.
2024-03-30 15:10:59,397 INFO    MainThread:49119 [wandb_init.py:init():848] run started, returning control to user process
2024-03-30 15:10:59,455 INFO    MainThread:49119 [wandb_watch.py:watch():51] Watching
